rdf-schema#label,author_label,firstPublicationDate,lastPublicationDate,magazine_label,numberOfVolumes,publisher_label
Eat-Man,Akihito Yoshitomi,1996-12-13,2002-09-27,Dengeki Comic Gao!,19,MediaWorks (publisher)
Eat or Be Eaten,Jinko_Fuyuno,NULL,NULL,NULL,NULL,Frontier Works
Ebiten: Kōritsu Ebisugawa Kōkō Tenmonbu,NULL,NULL,NULL,Monthly Comp Ace,4,Kadokawa Shoten
Eden's Bowy,Kitsune_Tennouji,NULL,NULL,Comptiq,20,Kadokawa Shoten
Eden*,Yū Kagami,NULL,NULL,Comic Rex,1,Ichijinsha
Eden: It's an Endless World!,Hiroki Endo,NULL,NULL,Monthly Afternoon,18,Kodansha
NULL,Kenji Kamiyama,2009-09-16,NULL,NULL,1,Media Factory
NULL,Kenji Kamiyama,2010-04-23,NULL,NULL,1,Media Factory
Eensy Weensy Monster,Masami Tsuda,NULL,NULL,LaLa,2,Hakusensha
Eerie Queerie!,Shuri_Shiozu,NULL,NULL,Wings (magazine),4,Shinshokan
Ef: A Fairy Tale of the Two.,{Mikage|Yū Kagami},2007-10-25,NULL,{Dengeki Comic Gao!|Dengeki Daioh|Comptiq},{1|2|10},{ASCII Media Works|Kadokawa Shoten|Fujimi Shobo}
Eight Clouds Rising,Natsumi Itsuki,1992-10-19,2002-11-05,LaLa,19,Hakusensha
Eiken (manga),Seiji Matsuyama,NULL,NULL,Weekly Shōnen Champion,18,Akita Shoten
Eikou no Napoleon – Eroica,Riyoko Ikeda,NULL,NULL,NULL,12,Chuoukouronsha
Eko Eko Azarak (manga),Shinichi_Koga,1975-09-01,NULL,Weekly Shōnen Champion,19,Akita Shoten
NULL,NULL,NULL,NULL,Champion Red,1,Akita Shoten
Electric Hands,Mikiyo Tsuda,NULL,NULL,NULL,1,Shinshokan
NULL,NULL,NULL,NULL,V Jump,2,NULL
Elemental Gelade,Mayumi Azuma,{2002-02-28|2003-06-15|2005-08-29},2009-12-28,{Monthly Comic Blade|Monthly Comic Avarus|Comic Blade Masamune},{8|12|18},Mag Garden
Elementalors,Takeshi_Okazaki,NULL,NULL,Monthly Newtype,4,Kadokawa Shoten
Elfen Lied,Lynn Okamoto,2002-06-06,2005-08-25,Weekly Young Jump,12,Shueisha
Embalming (manga),{Nobuhiro Watsuki|Kaoru_Kurosaki},{2005-11-01|2006-11-01|2007-11-02},2015-04-04,{Weekly Shōnen Jump|Jump Square},10,Shueisha
Embraced by the Moonlight,Saki Hiwatari,2003-09-26,2014-11-26,Bessatsu Hana to Yume,15,Hakusensha
Embracing Love,Youka Nitta,NULL,NULL,NULL,14,{Central Park Media|Viz Media|Libre Publishing}
Emma (manga),Kaoru Mori,NULL,NULL,Comic Beam,{3|10},Enterbrain
Enchanter (manga),Izumi_Kawachi,NULL,NULL,Gangan Comics,19,Square Enix
Encouragement of Climb,NULL,2011-08-12,NULL,Comic Earth Star,11,Earth Star Entertainment
Endless Rain (manga),Yūya,2006-11-11,NULL,NULL,1,{Digital Manga|Ookura_Shuppan}
Engaged to the Unidentified,NULL,2009-04-22,NULL,NULL,6,Ichijinsha
Enigma (manga),Kenji_Sakaki,NULL,NULL,Weekly Shōnen Jump,7,Shueisha
Enomoto: New Elements that Shake the World,Shunji Enomoto,NULL,NULL,Weekly Morning,9,Kodansha
NULL,NULL,NULL,NULL,Asahi Shimbun,NULL,NULL
NULL,NULL,2015-02-18,NULL,NULL,NULL,NULL
Esper Mami,Fujiko Fujio,NULL,NULL,Shōnen Big Comic,9,Shogakukan
Et Cetera (manga),Tow_Nakazaki,NULL,NULL,Monthly Shōnen Magazine,9,Kodansha
Eternal Filena,Takeshi_Shudō,NULL,NULL,Animage,9,Tokuma Shoten
Etotama,NULL,NULL,NULL,Dengeki Daioh,3,ASCII Media Works
NULL,NULL,2005-10-29,2006-05-31,NULL,4,Kadokawa Shoten
NULL,NULL,2005-07-26,2006-09-26,Monthly Shōnen Ace,6,Kadokawa Shoten
NULL,NULL,NULL,2006-09-26,Comptiq,2,Kadokawa Shoten
NULL,NULL,NULL,NULL,Monthly Shōnen Ace,5,Kadokawa Shoten
NULL,NULL,NULL,NULL,NULL,2,Kadokawa Shoten
NULL,NULL,NULL,NULL,NULL,1,Kadokawa Shoten
NULL,NULL,2013-01-26,NULL,Comptiq,2,Kadokawa Shoten
Even a Monkey Can Draw Manga,{Kentaro Takekuma|Koji Aihara},NULL,NULL,Big Comic Spirits,3,Shogakukan
Evergreen (manga),Yuyuko Takemiya,2011-07-19,NULL,{Dengeki Daioh|Sylph (magazine)},4,{Seven Seas Entertainment|ASCII Media Works}
Excel Saga,Kōshi Rikudō,NULL,NULL,Young King OURs,27,Shōnen Gahōsha
Eyeshield 21,Riichiro Inagaki,2002-07-23,2009-06-15,Weekly Shōnen Jump,37,Shueisha
NULL,Hajime Ueda,NULL,NULL,Monthly Magazine Z,2,Kodansha
NULL,Yōji Enokido,NULL,NULL,NULL,3,Kadokawa Shoten
F (manga),Noboru Rokuda,1985-06-15,NULL,Big Comic Spirits,{12|28},{Shogakukan|Shueisha}
NULL,Xebec (studio),NULL,NULL,Monthly Shōnen Sirius,3,Kodansha
NULL,Tow Ubukata,2005-01-10,NULL,NULL,NULL,NULL
NULL,NULL,2005-04-27,2006-01-27,Dengeki Daioh,2,{Digital Manga|MediaWorks (publisher)}
Fair then Partly Piggy,Shiro Yadama,1980-09-05,2013-07-11,NULL,10,NULL
FairChild,ALcot,NULL,NULL,NULL,NULL,{ALcot|Enterbrain}
FairlyLife,Hooksoft,2008-09-26,2008-11-26,Monthly Comp Ace,NULL,Kadokawa Shoten
Fairy Cube,Kaori Yuki,NULL,NULL,Hana to Yume,3,Hakusensha
Fairy Navigator Runa,NULL,NULL,NULL,Nakayoshi,7,{Kodansha|Del Rey Manga}
Fairy Tail,Hiro Mashima,2006-08-02,NULL,Weekly Shōnen Magazine,53,Kodansha
Fairy Tail: Blue Mistral,NULL,2014-08-02,2015-12-01,Nakayoshi,4,Kodansha
Fairy Tail Zero,Hiro Mashima,2014-07-17,2015-07-17,NULL,1,Kodansha
Fake (manga),Sanami Matoh,NULL,NULL,{Libre Publishing|Hug_(magazine)},7,{Libre Publishing|Asuka_Shisha}
Fake Fur (manga),Satomi_Yamagata,{2001-10-27|2005-12-27},NULL,NULL,1,Houbunsha
Fall in Love Like a Comic!,Chitose Yagami,NULL,NULL,{ChuChu (magazine)|Ciao (magazine)},1,{Shogakukan|Viz Media}
Fallen Moon,Toui_Hasumi,2004-04-05,NULL,NULL,1,{Tokyopop|Libre Publishing|Gentosha}
Family Complex,Mikiyo Tsuda,NULL,NULL,Wings (magazine),1,Shinshokan
Fancy Dance (manga),Reiko Okano,NULL,NULL,Flowers (magazine),NULL,Shogakukan
NULL,Rurika_Kasuga,NULL,NULL,Ribon,2,Shueisha
Fantasista Doll,NULL,{2013-04-10|2013-04-19|2013-09-20|2013-10-19},2013-07-19,{Comptiq|Monthly Comp Ace|Monthly Comic Alive},14,{Media Factory|Kadokawa Shoten|Fujimi Shobo}
NULL,Takashi Nakamura,NULL,NULL,Monthly Comic Flapper,2,Media Factory
Fantastic Detective Labyrinth,Meito_Manjō,2006-08-17,2008-08-12,Magazine Special,8,Kodansha
NULL,NULL,NULL,NULL,NULL,1,NULL
Faster than a Kiss,Meca Tanaka,NULL,NULL,LaLa,12,Hakusensha
Fate/Apocrypha,NULL,2012-12-29,2014-12-30,NULL,5,Type-Moon
Fate/Zero,Gen Urobuchi,2006-12-29,2007-12-29,Young Ace,{4|11},{Type-Moon|Kadokawa Shoten}
Fate/kaleid liner Prisma Illya,NULL,NULL,NULL,Monthly Comp Ace,{2|5|6},Kadokawa Shoten
NULL,NULL,NULL,NULL,Monthly Shōnen Ace,20,Kadokawa Shoten
Faust (manga),Osamu Tezuka,1950-01-15,NULL,NULL,NULL,Fuji_Shobo
Fight! Iczer One,Arai_Ren,NULL,NULL,Lemon People,NULL,Kubo_Shoten
Fight Ippatsu! Jūden-chan!!,Bow Ditama,2006-06-24,2013-10-26,Comic Gum,10,Wani Books
Fighting Beauty Wulong,Yūgo Ishikawa,2002-12-26,NULL,Weekly Young Sunday,19,Shogakukan
Fighting Foodons,NULL,NULL,NULL,Comic BomBom,2,Kodansha
Figure 17,{Shōji Yonemura|Genco_Olm},{2001-11-27|2002-06-10},2002-10-27,Dengeki Daioh,2,MediaWorks (publisher)
Finder Series,Ayano Yamane,NULL,NULL,Be_x_Boy_Gold,7,Libre Publishing
Fire! (manga),Hideko Mizuno,NULL,NULL,Seventeen (Japanese magazine),NULL,NULL
Fire Candy,Natsuo_Imamura,NULL,NULL,Young Champion,2,Akita Shoten
Fire Tripper,Rumiko Takahashi,NULL,NULL,Weekly Shōnen Sunday,1,{Shogakukan|Viz Media}
Fireball (manga),Katsuhiro Otomo,NULL,NULL,NULL,NULL,NULL
Firefighter! Daigo of Fire Company M,Masahito Soda,NULL,NULL,Weekly Shōnen Sunday,20,Shogakukan
First Girl,Chiho Saito,NULL,NULL,Petit Comic,5,Shogakukan
First Human Giatrus,Shunji_Sonoyama,NULL,NULL,Weekly Manga Sunday,NULL,{Shogakukan|Gakken|Jitsugyo no Nihon Sha}
First Love Limited,Mizuki Kawashita,{2007-10-01|2009-03-23},2008-05-26,Weekly Shōnen Jump,{1|4},Shueisha
First Love Monster,NULL,NULL,NULL,Aria (magazine),5,Kodansha
First Love Sisters,{Mako Komao|Reine Hibiki|Mizuo Shinonome},2003-06-28,2008-01-18,{Yuri Shimai|Comic Yuri Hime},3,{Ichijinsha|Sun_Magazine}
Fish in the Trap,Ranma_Nekokichi,NULL,NULL,NULL,3,NULL
Fist of the Blue Sky,{Tetsuo Hara|Buronson},NULL,NULL,Weekly Comic Bunch,22,Shinchosha
Fist of the North Star,Buronson,1983-09-13,NULL,Weekly Shōnen Jump,27,Shueisha
Flame of Recca,Nobuyuki Anzai,NULL,NULL,Weekly Shōnen Sunday,33,Shogakukan
Flesh-Colored Horror,Junji Ito,NULL,NULL,Halloween_(magazine),1,Asahi Sonorama
NULL,{Akira_Yamauchi|Hideki_Sonoda},NULL,NULL,Comic BomBom,1,Kodansha
Flock of Angels,NULL,NULL,NULL,NULL,3,Asahi Sonorama
Flower in a Storm,Takagi_Shigeyoshi,NULL,NULL,LaLa,2,{Viz Media|Hakusensha}
Flower of Eden,Yuki Suetsugu,NULL,NULL,Bessatsu Friend,12,{Tokyopop|Kodansha}
Flower of Life (manga),Fumi Yoshinaga,NULL,NULL,Wings (magazine),4,Shinshokan
Flower of the Deep Sleep,Yuana_Kazumi,2003-01-17,2003-08-11,NULL,2,Kadokawa Shoten
Fluffy Fluffy Cinnamoroll,{Yumi Tsukirino|Chisato_Seki},NULL,NULL,Pucchigumi,5,NULL
Flunk Punk Rumble,Miki Yoshikawa,2006-10-18,2011-05-18,Weekly Shōnen Magazine,23,Kodansha
Flying Witch,NULL,NULL,NULL,Bessatsu Shōnen Magazine,3,Kodansha
Food Wars: Shokugeki no Soma,NULL,{2012-11-26|2014-02-04|2015-03-03},NULL,Weekly Shōnen Jump,{1|4|16},Shueisha
Forbidden Dance,Hinako Ashihara,NULL,NULL,Betsucomi,4,{Tokyopop|Shogakukan}
Fortune Arterial,August (company),NULL,NULL,{Comptiq|Dengeki G's Magazine},{1|7},{ASCII Media Works|Kadokawa Shoten}
Fortune Dogs,NULL,NULL,NULL,Nakayoshi,NULL,Kodansha
Forza! Hidemaru,NULL,2002-11-28,2003-05-28,CoroCoro Comic,2,Shogakukan
Four-Eyed Prince,NULL,NULL,NULL,NULL,4,{Kodansha|Del Rey Manga}
Four Shōjo Stories,{Moto Hagio|Keiko Nishi|Shio Satō},NULL,NULL,NULL,1,Shogakukan
Foxy Lady (manga),Ayun_Tachibana,2002-11-26,2005-03-03,NULL,5,{Tokyopop|Ichijinsha}
Fractale,{Hiroki Azuma|Yutaka Yamamoto|Mari Okada},2010-09-30,2011-11-17,Gangan Comics,3,{Square Enix|Media Factory}
Franken Fran,Katsuhisa_Kigitsu,NULL,NULL,Champion Red,8,Akita Shoten
Freaks (manga),Ashika Sakura,NULL,NULL,Comic Birz,4,Gentosha
NULL,NULL,2013-07-08,NULL,NULL,2,Kyoto Animation
Free Collars Kingdom,NULL,NULL,NULL,Monthly Magazine Z,{2|3},{Ichijinsha|Kodansha}
NULL,Kō_Furukawa,2007-05-24,NULL,NULL,NULL,Shogakukan
Freefall Romance,Hyouta_Fujiyama,2004-04-22,NULL,NULL,1,Frontier Works
Freesia (manga),Jiro Matsumoto,NULL,NULL,Monthly Ikki,12,Shogakukan
Freezing (manga),Lim Dall-young,{2007-01-27|2011-09-27|2012-03-27},2012-01-27,Comic Valkyrie,{1|3|6|28},Kill Time Communication
NULL,Izumi Todo,NULL,NULL,Nakayoshi,12,Kodansha
From Eroica with Love,Yasuko Aoike,NULL,NULL,Princess (magazine),39,Akita Shoten
From Far Away,Kyoko_Hikawa,NULL,NULL,LaLa,14,Hakusensha
From Kobe,NULL,NULL,NULL,Monthly Afternoon,10,Kodansha
From Up Above,Sakuya_Kurekoshi,2006-04-12,NULL,NULL,1,{Digital Manga|Ookura_Shuppan}
From the New World (novel),Yusuke Kishi,{2008-01-23|2009-08-07|2011-01-14|2012-05-09},2014-06-09,Bessatsu Shōnen Magazine,7,Kodansha
Fruits Basket,Natsuki Takaya,2015-09-04,NULL,Hana to Yume,23,Hakusensha
Fuan no Tane,NULL,NULL,NULL,{Weekly Shōnen Champion|Champion Red},{3|4},Akita Shoten
Fujimi Orchestra,NULL,NULL,NULL,NULL,27,Kadokawa Shoten
Fujoshi Rumi,Natsumi_Konjoh,2006-04-12,NULL,Comic High!,6,{Media Blasters|Futabasha|JManga}
Full House Kiss,Shiori_Yuwa,NULL,NULL,{Hana to Yume|The Hana to Yume},6,Hakusensha
Full Metal Panic!,{Shoji Gatoh|Retsu Tateo},{1998-09-09|2000-08-30|2001-01-30|2003-07-01|2005-08-01|2011-08-20|2012-03-26|2013-09-20},{2003-04-01|2005-07-01|2011-08-20|2013-09-20},{Dragon Magazine (Fujimi Shobo)|Monthly Dragon Age},{2|5|7|9|19|23},Fujimi Shobo
Full Moon o Sagashite,Arina Tanemura,NULL,NULL,Ribon,7,Shueisha
Fullmetal Alchemist,{Hiromu Arakawa|Makoto Inoue},{2001-07-12|2003-02-28},{2010-04-22|2010-06-12},Gangan Comics,{10|27},{Square Enix|Enix}
Fun Fun Factory,Yoshitomo_Watanabe,NULL,NULL,LaLa,4,Hakusensha
Furiten-kun,Masashi Ueda,NULL,NULL,{Manga Life|Kindai_Mahjong|Kindai_Mahjong_Original|Gamble_Punch},{3|8|19},Takeshobo
Fushigi Yûgi,{Yuu Watase|Megumi_Nishizaki},1998-01-30,2003-09-26,Shōjo Comic,{13|18},Shogakukan
Fushigi Yûgi Byakko Ibun,Yuu Watase,NULL,NULL,Flowers (magazine),NULL,Shogakukan
Fushigi Yûgi Genbu Kaiden,Yuu Watase,NULL,NULL,{Shōjo Comic|Flowers (magazine)},12,{Shogakukan|Madman Entertainment|Viz Media}
Fushigiboshi no Futagohime,Mayuki_Anan,NULL,NULL,Ciao (magazine),2,Shogakukan
Futaba-kun Change!,Hiroshi Aro,NULL,NULL,Monthly Shōnen Jump,8,Shueisha
Futagashira,Natsume Ono,NULL,NULL,{Monthly Ikki|Hibana_(magazine)},4,Shogakukan
NULL,NULL,NULL,NULL,NULL,NULL,NULL
Futari Daka,Kaoru Shintani,NULL,NULL,Weekly Shōnen Sunday,19,Shogakukan
Futari Ecchi,Katsu Aki,NULL,NULL,{Young Animal|Young Animal Arashi},{2|66},Hakusensha
NULL,Izumi Todo,NULL,NULL,Nakayoshi,NULL,Kodansha
NULL,Izumi Todo,NULL,NULL,Nakayoshi,4,Kodansha
NULL,Izumi Todo,NULL,NULL,Nakayoshi,NULL,Kodansha
Future Card Buddyfight,NULL,NULL,NULL,CoroCoro Comic,4,{Shogakukan|Shogakukan Asia}
Future Diary,Sakae_Esuno,{2006-01-26|2008-11-26},{2010-12-25|2013-07-26},Monthly Shōnen Ace,{3|12},Kadokawa Shoten
Future Lovers (manga),Saika_Kunieda,NULL,NULL,NULL,2,Libre Publishing
Fūka (manga),Kōji Seo,2014-02-12,NULL,Weekly Shōnen Magazine,9,{Crunchyroll|Kodansha}
Fūma no Kojirō,Masami Kurumada,NULL,NULL,{Weekly Shōnen Jump|Champion Red},{3|10},{Shueisha|Akita Shoten}
G-Taste,Hiroki Yagami,1997-07-09,NULL,Young Magazine Uppers,NULL,Kodansha
GA Geijutsuka Art Design Class,Satoko Kiyuduki,2004-07-23,2015-12-28,{Manga Time Kirara Carat|Comic_Gyutto!},6,{Houbunsha|Heiwa_Shuppan}
GE – Good Ending,NULL,NULL,NULL,Weekly Shōnen Magazine,16,Kodansha
GJ Club,NULL,{2010-03-18|2012-04-18},2012-03-16,NULL,{8|9},Shogakukan
NULL,NULL,NULL,NULL,Comic Gum,1,NULL
G Senjō Heaven's Door,Yoko_Nihonbashi,NULL,NULL,NULL,3,Shogakukan
Ga-Rei,NULL,2005-10-26,2010-01-26,Monthly Shōnen Ace,{1|12},Kadokawa Shoten
Gaba Kawa,Rie Takada,NULL,NULL,Shōjo Comic,1,{Shogakukan|Viz Media}
Gacha Gacha,Hiroyuki Tamakoshi,2002-12-17,2008-06-23,Magazine Special,16,Kodansha
NULL,NULL,2003-05-24,2003-09-25,NULL,4,NULL
Gag Manga Biyori,Kōsuke Masuda,NULL,NULL,{Monthly Shōnen Jump|Jump Square},{1|15},Shueisha
Gaia Gear,Yoshiyuki Tomino,NULL,NULL,Monthly Newtype,5,Kadokawa Shoten
Gaist Crusher,NULL,NULL,NULL,{V Jump|Saikyō Jump},{1|4},Shueisha
Gaki Rock,Daiju_Yamauchi,NULL,NULL,Young Champion,1,Akita Shoten
Gakkō no Kaidan (novel series),NULL,{2006-01-30|2012-03-30},2010-10-30,NULL,{2|4|12},Enterbrain
Gaku: Minna no Yama,Shin'ichi_Ishizuka,NULL,NULL,Big Comic Original,18,Shogakukan
Gaku Ou: The Royal Seven Stars,NULL,NULL,2012-05-26,Monthly Comic Alive,2,Media Factory
Gakuen Alice,Higuchi Tachibana,2003-02-19,2013-06-20,Hana to Yume,31,Hakusensha
Gakuen Heaven,{You Higuri|TAMAMI},2004-03-10,NULL,NULL,1,Libre Publishing
Gakuen Polizi,Milk Morinaga,NULL,2014-06-21,Comic High!,2,Futabasha
Gakuen Utopia Manabi Straight!,Ufotable,2015-01-30,NULL,Dengeki Daioh,4,{MediaWorks (publisher)|Enterbrain}
Galaxy Angel II,{Sumire_Nanosuna|Yūko_Ōtsuki},{2005-08-15|2005-12-10},2008-08-21,{Comptiq|Comi Digi +},{1|6},{Broccoli (company)|Kadokawa Shoten}
NULL,Broccoli (company),2001-04-27,2004-03-27,Monthly Dragon Age,8,{Broccoli (company)|Jive (publisher)|Kadokawa Shoten|Fujimi Shobo}
Galaxy Express 999,Leiji Matsumoto,NULL,NULL,{Shōnen Big Comic|Weekly Young Sunday},21,Shogakukan
Gallery Fake,Fujihiko Hosono,NULL,NULL,Big Comic Spirits,32,Shogakukan
Gals!,Mihona Fujii,1998-12-29,2002-05-01,Ribon,{2|10},Shueisha
Gamaran,Nakamaru_Yousuke,NULL,NULL,Weekly Shōnen Magazine,21,Kodansha
Game Center Arashi,Mitsuru Sugaya,NULL,NULL,CoroCoro Comic,17,Shogakukan
Gamerz Heaven,Maki Murakami,NULL,NULL,Monthly Comic Blade,4,{A.D. Vision|Mag Garden}
Ganba! Fly High,Shinji Morisue,NULL,NULL,Weekly Shōnen Sunday,34,Shogakukan
Ganbare!! Tabuchi-kun!!,Hisaichi Ishii,NULL,NULL,Manga Action,{3|5},{Bungeishunjū|Futabasha}
Ganbare Kickers!,NULL,NULL,NULL,CoroCoro Comic,20,Shogakukan
Ganbare Genki,Yū Koyama,NULL,NULL,Weekly Shōnen Sunday,28,Shogakukan
Gangsta (manga),NULL,{2014-04-09|2015-08-01},NULL,Weekly Comic Bunch,{2|7},Shinchosha
NULL,Mahiro Maeda,NULL,NULL,Monthly Afternoon,3,Kodansha
Gantz,Hiroya Oku,2015-11-17,NULL,Weekly Young Jump,37,Shueisha
Garden Dreams,Fumi Yoshinaga,NULL,NULL,Wings (magazine),1,Shinshokan
Gargantia on the Verdurous Planet,NULL,{2013-01-10|2013-06-07},NULL,Famitsu_Comic_Clear,3,{Kadokawa Shoten|Enterbrain}
Garōden,Baku Yumemakura,NULL,NULL,{Evening (magazine)|Young Magazine Uppers},{13|25},{Futabasha|Kodansha|Akita Shoten}
NULL,Meimu,NULL,NULL,NULL,4,NULL
Gatcha Gacha,Yutaka Tachibana,NULL,NULL,Hana to Yume,8,Hakusensha
Gate (novel series),NULL,2010-04-12,NULL,NULL,{7|10|16},NULL
Gate 7,Clamp (manga artists),NULL,NULL,Jump Square,4,Shueisha
Gate Keepers,Hiroshi_Yamaguchi,2003-01-30,NULL,Monthly Shōnen Ace,3,Kadokawa Shoten
Gdleen,Yuto_Ramon,NULL,NULL,NULL,7,Kadokawa Shoten
GeGeGe no Kitarō,Shigeru Mizuki,NULL,NULL,Weekly Shōnen Magazine,9,Kodansha
Gekkō no Carnevale,NULL,2007-05-24,2008-04-23,Champion Red,{2|3},{Shogakukan|Akita Shoten}
Gemini Knives,Hidefumi Kimura,2006-02-28,2006-12-29,Megami Magazine,2,Gakken
Genji Monogatari (manga),Miyako Maki,NULL,NULL,NULL,6,Shogakukan
Genju no Seiza,Matsuri Akino,NULL,NULL,NULL,14,Akita Shoten
Genkaku Picasso,Usamaru Furuya,NULL,NULL,Jump Square,3,{Viz Media|Shueisha}
Genma Taisen,Kazumasa Hirai (author),NULL,NULL,{Weekly Shōnen Magazine|Monthly Comic Ryū|SF Magazine},NULL,{Kodansha|Tokuma Shoten}
Genocyber,Tony Takezaki,NULL,NULL,NULL,1,Viz Media
Genshiken,Shimoku Kio,{2002-04-25|2008-01-21|2009-12-25},2006-05-25,Monthly Afternoon,9,Kodansha
Genson! Kodai Seibutsu-shi Packy,NULL,NULL,NULL,Weekly Shōnen Jump,2,Shueisha
Geobreeders,{Akihiro Ito|Isamu Imakake},NULL,NULL,Young King OURs,{1|16},Shōnen Gahōsha
Georgie!,Mann Izawa,NULL,NULL,Shōjo Comic,5,Shogakukan
Gerard & Jacques,Fumi Yoshinaga,NULL,NULL,NULL,2,NULL
Gestalt (manga),Yun Kōga,NULL,NULL,Gangan Comics,8,{Square Enix|Viz Media|Ichijinsha}
GetBackers,Shin Kibayashi,NULL,NULL,Weekly Shōnen Magazine,39,Kodansha
NULL,NULL,NULL,NULL,Dengeki Comic Gao!,2,MediaWorks (publisher)
Getter Robo Armageddon,{Ken Ishikawa|Yasuhiro Imagawa},NULL,NULL,{Monthly Magazine Z|Manga Action},{1|2},{Futabasha|Kodansha}
NULL,Tatsuya Yasuda,1990-12-28,1991-04-30,TV-kun,1,Shogakukan
NULL,Tatsuya Yasuda,NULL,NULL,CoroCoro Comic,1,Shogakukan
NULL,Go Nagai,NULL,NULL,Monthly_Shōnen_Captain,7,{Tokuma Shoten|Daitosha}
Getter Robo Hien: The Earth Suicide,Naoto_Tsushima,NULL,NULL,NULL,3,Gentosha
NULL,{Ken Ishikawa|Go Nagai},1974-04-07,1975-05-18,Weekly Shōnen Sunday,5,Shogakukan
NULL,Masamune Shirow,NULL,NULL,Monthly Comic Blade,2,Mag Garden
Ghost Hunt,Fuyumi Ono,1998-07-07,2010-09-30,{Nakayoshi|Aria (magazine)},{2|8|12},Kodansha
NULL,Yaeko_Ninagawa,NULL,NULL,Gangan Comics,2,Square Enix
Ghost Sweeper Mikami,Takashi Shiina,NULL,NULL,Weekly Shōnen Sunday,39,Shogakukan
Ghost Talker's Daydream,Saki_Okuse,NULL,NULL,Monthly Shōnen Ace,10,Kadokawa Shoten
Ghost in the Shell: Arise,NULL,2013-03-13,NULL,Weekly Young Magazine,4,Kodansha
NULL,NULL,NULL,NULL,Weekly Young Magazine,5,Kodansha
NULL,NULL,NULL,NULL,Weekly Young Magazine,5,Kodansha
NULL,NULL,NULL,NULL,NULL,3,Tokuma Shoten
Ghost in the Shell (manga),Masamune Shirow,NULL,NULL,Weekly Young Magazine,1,Kodansha
Giant Killing,Masaya_Tsunamoto,NULL,NULL,Weekly Morning,38,Kodansha
Giant Robo,Mitsuteru Yokoyama,NULL,NULL,Weekly Shōnen Sunday,3,{Shogakukan|Kodansha}
Giant Robo: The Day the Earth Burned,Yasuhiro Imagawa,NULL,NULL,Champion Red,9,Akita Shoten
Gift (visual novel),{Mako Komao|Yukiwo},{2005-12-25|2006-01-10|2006-11-07},{2006-05-01|2007-02-10},Comptiq,{2|5},Kadokawa Shoten
Gilgamesh (manga),Shotaro Ishinomori,NULL,NULL,NULL,6,Shōnen Gahōsha
Gimmick! (manga),Yōzaburō Kanari,2005-09-16,2007-05-18,Weekly Young Magazine,9,Shueisha
Gin'iro no Olynssis,Hitomi_Amamiya,NULL,NULL,Dengeki Maoh,1,MediaWorks (publisher)
Gin Tama,Hideaki Sorachi,{2003-12-08|2006-02-03},NULL,Weekly Shōnen Jump,{5|62},Shueisha
Gin no Spoon,Mari Ozawa,NULL,NULL,Kiss (Japanese magazine),10,Kodansha
Ginban Kaleidoscope,NULL,NULL,NULL,Margaret (magazine),{2|9},Shueisha
Ginga: Nagareboshi Gin,Yoshihiro Takahashi,NULL,NULL,Weekly Shōnen Jump,18,Shueisha
Ginga Legend Weed,Yoshihiro Takahashi,2002-03-31,2002-12-10,Weekly Manga Goraku,{1|30|60},Nihon Bungeisha
Gingitsune,Sayori_Ochiai,2008-07-19,NULL,Ultra Jump,11,Shueisha
Girl Friend (manga),Masaya_Hokazono,2004-06-18,2007-06-19,Weekly Young Jump,5,Shueisha
Girl Friends (manga),Milk Morinaga,2006-10-21,2010-08-21,Comic High!,5,{Seven Seas Entertainment|Futabasha}
Girl Got Game,Shizuru Seino,NULL,NULL,Bessatsu Friend,10,{Tokyopop|Kodansha}
Girlish Number,NULL,NULL,NULL,Dengeki G's Magazine,NULL,ASCII Media Works
NULL,Minato Soft,2016-02-29,NULL,Dengeki G's Comic,NULL,ASCII Media Works
Girls Bravo,NULL,2000-12-26,2005-09-13,Monthly Shōnen Ace,10,Kadokawa Shoten
Girls Saurus,Kei Kusunoki,NULL,NULL,{Monthly Sunday Gene-X|Shōnen Sunday Super},{3|10},Shogakukan
Girls und Panzer,NULL,{2012-06-05|2012-06-27|2012-11-22|2013-05-27|2014-09-05|2014-11-19|2015-04-27},{2013-01-26|2013-06-25|2014-03-05|2015-08-19},{Monthly Comic Alive|Monthly Comic Flapper},{2|3|4|5},Media Factory
Glass Mask,Suzue Miuchi,NULL,NULL,{Hana to Yume|Bessatsu Hana to Yume},49,Hakusensha
Glass Sky,Yugi_Yamada,NULL,NULL,NULL,1,Houbunsha
Glass Wings,NULL,2003-12-17,NULL,NULL,1,Kadokawa Shoten
NULL,NULL,2014-10-03,NULL,NULL,NULL,Pony Canyon
NULL,NULL,2014-07-03,NULL,NULL,NULL,Pony Canyon
NULL,Izumi Todo,NULL,NULL,Nakayoshi,1,Kodansha
Global Garden,Saki Hiwatari,2001-08-04,2004-12-04,Hana to Yume,8,Hakusensha
Go!! Southern Ice Hockey Club,Kōji Kumeta,NULL,NULL,Weekly Shōnen Sunday,23,Shogakukan
Go! Go! Ackman,Akira Toriyama,1993-07-07,1994-01-10,V Jump,1,Shueisha
NULL,Izumi Todo,NULL,NULL,Nakayoshi,2,Kodansha
GoGo Monster,Taiyō Matsumoto,2000-10-23,NULL,NULL,1,Shogakukan
